dossier_id,nom,description,risques_cibles,risques_naturels,risques_technologiques,public_cible,date_debut,date_fin,adresse,nom_commune,insee_dep,departement,id,organisateur,etat_du_dossier,est_risques_naturels,est_risques_technologiques,est_inondations,est_feux_de_foret,est_tempete_cyclone,est_seisme,est_eruption_volcanique,est_mouvement_de_terrain,est_risques_littoraux,est_avalanche,est_radon,est_accidents_industriels,est_accidents_nucleaires,est_rupture_de_barrage,est_transport_de_matieres_dangereuses,est_tous_public,est_famille,est_jeune_public,est_seniors,lat,lon,action_id
13170147,Village de la prévention des risques tous publics,"Tous les Montpelliérains à partir de 9 ans sont invités à venir apprendre à mieux se protéger des risques le vendredi 13 octobre. Ils pourront se présenter à l'accueil entre 9h et 18h pour effectuer tout ou partie des animations (durée totale entre 15 et 45 mn). En partenariat avec l'Académie de Montpellier, les classes de Cm1-Cm2 des écoles du quartier Centre et des bassins à risques ont été conviées à participer au Village. 8 classes se sont déjà inscrites ce qui représente 207 enfants qui seront accompagnés de leurs enseignants. En lien avec le CCAS, il est également envisagé de communiquer auprès des Clubs de l'Age d'or de la Ville afin de toucher ce public prioritaire. Quelques exemples d'animations proposées : Qu’est-ce qu’une maison résiliente ? (autour d’une maquette) ; Je construis mon batardeau (atelier) ; Je prévois le risque, j’organise ma défense et que faire en cas de sinistre ? ; 15 ans d’inondation sur les bassins versant du Lez (exposition) ; jeu de société « premières connaissances sur les risques majeurs » (jeu en équipe) ; les moyens d’intervention des pompiers (véhicule) ; je me prépare et comment je réagis (casques de réalité virtuelle) ; jeu sur le kit d’urgence et quizz sur les dispositifs d’alerte ; boîte à risque inondation et feux de forêt, quizz sur le DICRIM ; mises en situation de risque (casques de réalité virtuelle) ; les GES et le réchauffement climatique (quizz) ; la veille de la météo et les vigilances (quizz) ; atelier sur pluviométrie...",Risques naturels,"Inondations, Feux de forêt",,"Tous public, Famille, Jeune public, Séniors",2023-10-13,2023-10-13,Place du Nombre d'Or 34000 Montpellier,Montpellier (34000),34,Hérault,13170147,Mairie de Montpellier,En instruction,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,43.608261,3.8868814,
13539875,Le littoral vu d'en haut,"Il s'agit d'une exposition sur 3 mois sur le recul du trait de côte sur le littoral basque. Une série de photos prises par drone opéré par le BRGM montre les phénomènes d'éboulement des falaises et les enjeux de l'urbanisation. Des explications géologiques seront présentées et de l'information sur la gestion du recul (qui fait quoi). En même temps des œuvres d'artistes et de photographes présentent le recul chacun à sa manière. Les visiteurs seront invités à imaginer différents scenarios sur les 50ans à venir, les conséquences possibles et des solutions à mettre en place pour créer un territoire plus résilient.",Risques naturels,"Risques littoraux, Mouvement de terrain, Inondations",,Tous public,2023-09-30,2023-12-15,"Asporotsttipi-la Maison de la Corniche, route de la Corniche 64700 Hendaye",Hendaye (64700),64,Pyrénées-Atlantiques,13539875,CPIE Littoral basque,En construction,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,43.3775837,-1.7388442974159166,
13539875,"Atelier terrain Arriskua - Baie de Txingudi, changement climatique et risques en estuaire","Cette sortie très courte (+/- 8km A/R) se fera aux abords de l'estuaire du fleuve Bidassoa de Caneta au Centre Nautique.  Cet estuaire est un milieu riche et dynamique, constitué de marais, de bancs de sable, de lagunes, c'est un lieu de passage très apprécié des oiseaux migrateurs. La zone est sujette au risque d'inondation, éventuellement aggravé par le risque de submersion.  L'objet de la sortie est de mieux comprendre le fonctionnement hydrologique et écologique de l'estuaire, accompagné par notre animateur et illustré par des petits ""travaux"" de lecture de paysage. C'est aussi l'opportunité d'aborder tranquillement les questions de risque associées à ce milieu: mieux connaître pour mieux s'y préparer...",Risques naturels,"Inondations, Risques littoraux",,Tous public,2023-10-11,2023-10-11,Boulevard de la baie de Txingudi 64700 Hendaye (RDV précisé au moment de l'inscription),Hendaye (64700),64,Pyrénées-Atlantiques,13539875,CPIE Littoral basque,En construction,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,43.3641518,-1.7616499,
13490469,Déambulation,"Le collectif LA FOLIE KILOMETRE propose une marche entre fictions et réalité, construite sur une partition interrogeant le rapport des habitants du val de Saône à sa vulnérabilité aux inondations, et mettant en regard les diagnostics passés et en cours d’élaboration. Au-delà du fait de se mettre en marche pour arpenter un paysage, nous cherchons à déplacer les perceptions et les sensations que l’on peut en avoir. Un rendez-vous commun pour marcher ensemble, les moment partagés et les temps collectifs qui précèdent ce rendez-vous contribuent à fabriquer de nouvelles représentations.",Risques naturels,Inondations,,Tous public,2023-10-14,2023-10-14,Rochetaillée-sur-Saône,Rochetaillée-sur-Saône (69270),69,Rhône,13490469,Etablissement public territorial de bassin Saône et Doubs,En construction,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,45.8401918,4.8357911,
13002567,Ateliers éducatifs autour des étangs ,"Informer sur la prise en compte du risque de rupture de barrages lors de crues exceptionnelles, sur la place des étangs dans la gestion d’une sécheresse sévère et leur rôle en matière de défense contre les incendies. Présenter le fonctionnement d’un plan d’eau et ses ouvrages règlementaires pour limiter les risques et réduire l’impact sur le milieu naturel. Présenter les enjeux de la valorisation d’une production aquacole d’étang pour répondre à la résilience alimentaire et au risque de pénurie alimentaire.",Risques naturels,"Inondations, Feux de forêt",,Tous public,2023-10-09,2023-10-13,route du Lac 19300 Égletons,Égletons (19300),-1,,13002567,SYNDICAT DES ETANGS CORREZIENS,En construction,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,45.4168778,2.0584588,
13252299,"Face au dérèglement climatique, habiter comment","Lors de nos intervention en conférence débat et à l'invitation des médias radios et télé, il s'agira de montrer des PowerPoint, des images, des reportages et aussi l'évolution de l'action de résilience. L'intéret de cette semaine sera de montrer que la thèse ''meuble haut' est une réponse qui explique LA réduction de la distance de chute et de facto, l'élimination de de la violence de l'impact.  ",Risques naturels,"Tempête/cyclone, Séisme, Éruption volcanique, Mouvement de terrain",,"Tous public, Famille, Jeune public, Séniors",2023-10-09,2023-10-14,Moulin a Vent 97231 Le Robert,Le Robert (97231),972,Martinique,13252299,CARIB SECURIT SARL,En construction,True,False,False,False,True,True,True,True,False,False,False,False,False,False,False,True,True,True,True,14.6822668,-60.9433724,
13252299,Habiter nos espace de vie en toute sécurité,"Lors de nos intervention en conférence débat et à l'invitation des médias radios et télé, il s'agira de montrer des PowerPoint, des images, des reportages et aussi l'évolution de l'action de résilience. L'intéret de cette semaine sera de montrer que la thèse ''meuble haut' est une réponse qui explique LA réduction de la distance de chute et de facto, l'élimination de de la violence de l'impact.  ",Risques naturels,"Tempête/cyclone, Séisme, Éruption volcanique, Mouvement de terrain",,"Tous public, Famille, Jeune public, Séniors",2023-10-09,2023-10-14,Moulin a Vent 97231 Le Robert,Le Robert (97231),972,Martinique,13252299,CARIB SECURIT SARL,En construction,True,False,False,False,True,True,True,True,False,False,False,False,False,False,False,True,True,True,True,14.6822668,-60.9433724,
13389066,Tous résilients face aux risques,"Le projet vise à : -	Sensibiliser les populations aux risques qui les environnent. Informer et acculturer toutes les parties prenantes aux mesures qui permettent de réduire leur exposition au risque en cas de catastrophe naturelle ou technologique.  -	Inciter les populations à passer à l’action pour préparer : kit de survie en cas d'évacuation ou de confinement, plan personnel de secours (PMSF, plan d’urgence de quartier),  -	Former aux gestes qui sauvent via la réalité virtuelle.",Risques naturels,"Inondations, Tempête/cyclone, Éruption volcanique, Séisme, Risques littoraux, Radon",,"Tous public, Famille, Jeune public, Séniors",2021-10-16,2023-10-16,Zac Étang Z Abricot 97200 Fort-de-France,Fort-de-France (97200),972,Martinique,13389066,EMERGENCES SECOURISME,En construction,True,False,True,False,True,True,True,False,True,False,True,False,False,False,False,True,True,True,True,14.6027962,-61.0676724,
13389066,Tous résilients face aux risques,"Le projet vise à : -	Sensibiliser les populations aux risques qui les environnent. Informer et acculturer toutes les parties prenantes aux mesures qui permettent de réduire leur exposition au risque en cas de catastrophe naturelle ou technologique.  -	Inciter les populations à passer à l’action pour préparer : kit de survie en cas d'évacuation ou de confinement, plan personnel de secours (PMSF, plan d’urgence de quartier),  -	Former aux gestes qui sauvent via la réalité virtuelle.",Risques naturels,"Inondations, Tempête/cyclone, Éruption volcanique, Séisme, Risques littoraux, Radon",,"Tous public, Famille, Jeune public, Séniors",2021-10-16,2023-10-16,Petit Manoir 97232 Le Lamentin,Le Lamentin (97232),972,Martinique,13389066,EMERGENCES SECOURISME,En construction,True,False,True,False,True,True,True,False,True,False,True,False,False,False,False,True,True,True,True,14.6110509,-60.9982706,
13389066,Tous résilients face aux risques,"Le projet vise à : -	Sensibiliser les populations aux risques qui les environnent. Informer et acculturer toutes les parties prenantes aux mesures qui permettent de réduire leur exposition au risque en cas de catastrophe naturelle ou technologique.  -	Inciter les populations à passer à l’action pour préparer : kit de survie en cas d'évacuation ou de confinement, plan personnel de secours (PMSF, plan d’urgence de quartier),  -	Former aux gestes qui sauvent via la réalité virtuelle.",Risques naturels,"Inondations, Tempête/cyclone, Éruption volcanique, Séisme, Risques littoraux, Radon",,"Tous public, Famille, Jeune public, Séniors",2021-10-16,2023-10-16,Le Bourg Nord 97220 La Trinité,La Trinité (97220),972,Martinique,13389066,EMERGENCES SECOURISME,En construction,True,False,True,False,True,True,True,False,True,False,True,False,False,False,False,True,True,True,True,14.7380399,-60.9645707,
13389066,Tous résilients face aux risques,"Le projet vise à : -	Sensibiliser les populations aux risques qui les environnent. Informer et acculturer toutes les parties prenantes aux mesures qui permettent de réduire leur exposition au risque en cas de catastrophe naturelle ou technologique.  -	Inciter les populations à passer à l’action pour préparer : kit de survie en cas d'évacuation ou de confinement, plan personnel de secours (PMSF, plan d’urgence de quartier),  -	Former aux gestes qui sauvent via la réalité virtuelle.",Risques naturels,"Inondations, Tempête/cyclone, Éruption volcanique, Séisme, Risques littoraux, Radon",,"Tous public, Famille, Jeune public, Séniors",2021-10-16,2023-10-16,Cite Ozanam Bateliere 97233 Schœlcher,Schœlcher (97233),972,Martinique,13389066,EMERGENCES SECOURISME,En construction,True,False,True,False,True,True,True,False,True,False,True,False,False,False,False,True,True,True,True,14.6169451,-61.1004559,
13389066,Tous résilients face aux risques,"Le projet vise à : -	Sensibiliser les populations aux risques qui les environnent. Informer et acculturer toutes les parties prenantes aux mesures qui permettent de réduire leur exposition au risque en cas de catastrophe naturelle ou technologique.  -	Inciter les populations à passer à l’action pour préparer : kit de survie en cas d'évacuation ou de confinement, plan personnel de secours (PMSF, plan d’urgence de quartier),  -	Former aux gestes qui sauvent via la réalité virtuelle.",Risques naturels,"Inondations, Tempête/cyclone, Éruption volcanique, Séisme, Risques littoraux, Radon",,"Tous public, Famille, Jeune public, Séniors",2021-10-16,2023-10-16,Route de la Pointe des Sables 97200 Fort-de-France,Fort-de-France (97200),972,Martinique,13389066,EMERGENCES SECOURISME,En construction,True,False,True,False,True,True,True,False,True,False,True,False,False,False,False,True,True,True,True,14.6026555,-61.0414903,
13389066,Tous résilients face aux risques,"Le projet vise à : -	Sensibiliser les populations aux risques qui les environnent. Informer et acculturer toutes les parties prenantes aux mesures qui permettent de réduire leur exposition au risque en cas de catastrophe naturelle ou technologique.  -	Inciter les populations à passer à l’action pour préparer : kit de survie en cas d'évacuation ou de confinement, plan personnel de secours (PMSF, plan d’urgence de quartier),  -	Former aux gestes qui sauvent via la réalité virtuelle.",Risques naturels,"Inondations, Tempête/cyclone, Éruption volcanique, Séisme, Risques littoraux, Radon",,"Tous public, Famille, Jeune public, Séniors",2021-10-16,2023-10-16,Zone Acajou Californie 97232 Le Lamentin,Le Lamentin (97232),972,Martinique,13389066,EMERGENCES SECOURISME,En construction,True,False,True,False,True,True,True,False,True,False,True,False,False,False,False,True,True,True,True,14.6171935,-61.0262294,
13389066,Tous résilients face aux risques,"Le projet vise à : -	Sensibiliser les populations aux risques qui les environnent. Informer et acculturer toutes les parties prenantes aux mesures qui permettent de réduire leur exposition au risque en cas de catastrophe naturelle ou technologique.  -	Inciter les populations à passer à l’action pour préparer : kit de survie en cas d'évacuation ou de confinement, plan personnel de secours (PMSF, plan d’urgence de quartier),  -	Former aux gestes qui sauvent via la réalité virtuelle.",Risques naturels,"Inondations, Tempête/cyclone, Éruption volcanique, Séisme, Risques littoraux, Radon",,"Tous public, Famille, Jeune public, Séniors",2021-10-16,2023-10-16,Belle Étoile 97212 Saint-Joseph,Saint-Joseph (97212),972,Martinique,13389066,EMERGENCES SECOURISME,En construction,True,False,True,False,True,True,True,False,True,False,True,False,False,False,False,True,True,True,True,14.6708819,-61.0277602,
13390519,Tous résilients face aux risques,"Le projet vise à : -	Sensibiliser les populations aux risques qui les environnent. Informer et acculturer toutes les parties prenantes aux mesures qui permettent de réduire leur exposition au risque en cas de catastrophe naturelle ou technologique.  -	Inciter les populations à passer à l’action pour préparer : kit de survie en cas d'évacuation ou de confinement, plan personnel de secours (PMSF, plan d’urgence de quartier),  -	Former aux gestes qui sauvent via la réalité virtuelle.","Risques naturels, Risques technologiques","Inondations, Séisme, Risques littoraux, Mouvement de terrain, Radon",Accidents industriels,"Tous public, Famille, Jeune public, Séniors",2023-10-01,2023-10-15,Avenue Patrick Saint-Éloi 97139 Les Abymes,Les Abymes (97139),971,Guadeloupe,13390519,EMERGENCES SECOURISME GUADELOUPE,En construction,True,True,True,False,False,True,False,True,True,False,True,True,False,False,False,True,True,True,True,16.2594727,-61.5185412,
13390519,Tous résilients face aux risques,"Le projet vise à : -	Sensibiliser les populations aux risques qui les environnent. Informer et acculturer toutes les parties prenantes aux mesures qui permettent de réduire leur exposition au risque en cas de catastrophe naturelle ou technologique.  -	Inciter les populations à passer à l’action pour préparer : kit de survie en cas d'évacuation ou de confinement, plan personnel de secours (PMSF, plan d’urgence de quartier),  -	Former aux gestes qui sauvent via la réalité virtuelle.","Risques naturels, Risques technologiques","Inondations, Séisme, Risques littoraux, Mouvement de terrain, Radon",Accidents industriels,"Tous public, Famille, Jeune public, Séniors",2023-10-01,2023-10-15,Moudong Sud 97122 Baie-Mahault,Baie-Mahault (97122),971,Guadeloupe,13390519,EMERGENCES SECOURISME GUADELOUPE,En construction,True,True,True,False,False,True,False,True,True,False,True,True,False,False,False,True,True,True,True,16.2679458,-61.5870766,
13390519,Tous résilients face aux risques,"Le projet vise à : -	Sensibiliser les populations aux risques qui les environnent. Informer et acculturer toutes les parties prenantes aux mesures qui permettent de réduire leur exposition au risque en cas de catastrophe naturelle ou technologique.  -	Inciter les populations à passer à l’action pour préparer : kit de survie en cas d'évacuation ou de confinement, plan personnel de secours (PMSF, plan d’urgence de quartier),  -	Former aux gestes qui sauvent via la réalité virtuelle.","Risques naturels, Risques technologiques","Inondations, Séisme, Risques littoraux, Mouvement de terrain, Radon",Accidents industriels,"Tous public, Famille, Jeune public, Séniors",2023-10-01,2023-10-15,Bd du Marquisat du Houelbourg 97122 Baie-Mahault,Baie-Mahault (97122),971,Guadeloupe,13390519,EMERGENCES SECOURISME GUADELOUPE,En construction,True,True,True,False,False,True,False,True,True,False,True,True,False,False,False,True,True,True,True,16.2679458,-61.5870766,
13390519,Tous résilients face aux risques,"Le projet vise à : -	Sensibiliser les populations aux risques qui les environnent. Informer et acculturer toutes les parties prenantes aux mesures qui permettent de réduire leur exposition au risque en cas de catastrophe naturelle ou technologique.  -	Inciter les populations à passer à l’action pour préparer : kit de survie en cas d'évacuation ou de confinement, plan personnel de secours (PMSF, plan d’urgence de quartier),  -	Former aux gestes qui sauvent via la réalité virtuelle.","Risques naturels, Risques technologiques","Inondations, Séisme, Risques littoraux, Mouvement de terrain, Radon",Accidents industriels,"Tous public, Famille, Jeune public, Séniors",2023-10-01,2023-10-15,43 Rue Henri Becquerel 97122 Baie-Mahault,Baie-Mahault (97122),971,Guadeloupe,13390519,EMERGENCES SECOURISME GUADELOUPE,En construction,True,True,True,False,False,True,False,True,True,False,True,True,False,False,False,True,True,True,True,16.2463137,-61.5707691,
13390519,Tous résilients face aux risques,"Le projet vise à : -	Sensibiliser les populations aux risques qui les environnent. Informer et acculturer toutes les parties prenantes aux mesures qui permettent de réduire leur exposition au risque en cas de catastrophe naturelle ou technologique.  -	Inciter les populations à passer à l’action pour préparer : kit de survie en cas d'évacuation ou de confinement, plan personnel de secours (PMSF, plan d’urgence de quartier),  -	Former aux gestes qui sauvent via la réalité virtuelle.","Risques naturels, Risques technologiques","Inondations, Séisme, Risques littoraux, Mouvement de terrain, Radon",Accidents industriels,"Tous public, Famille, Jeune public, Séniors",2023-10-01,2023-10-15,18 Boulevard Hegesippe Legitimus 97110 Pointe-à-Pitre,Pointe-à-Pitre (97110),971,Guadeloupe,13390519,EMERGENCES SECOURISME GUADELOUPE,En construction,True,True,True,False,False,True,False,True,True,False,True,True,False,False,False,True,True,True,True,16.2408636,-61.5334077,
13390519,Tous résilients face aux risques,"Le projet vise à : -	Sensibiliser les populations aux risques qui les environnent. Informer et acculturer toutes les parties prenantes aux mesures qui permettent de réduire leur exposition au risque en cas de catastrophe naturelle ou technologique.  -	Inciter les populations à passer à l’action pour préparer : kit de survie en cas d'évacuation ou de confinement, plan personnel de secours (PMSF, plan d’urgence de quartier),  -	Former aux gestes qui sauvent via la réalité virtuelle.","Risques naturels, Risques technologiques","Inondations, Séisme, Risques littoraux, Mouvement de terrain, Radon",Accidents industriels,"Tous public, Famille, Jeune public, Séniors",2023-10-01,2023-10-15,Rue de la mairie ,Saint-Martin (97150),971,Guadeloupe,13390519,EMERGENCES SECOURISME GUADELOUPE,En construction,True,True,True,False,False,True,False,True,True,False,True,True,False,False,False,True,True,True,True,47.3916675,4.3847019,
13390519,Tous résilients face aux risques,"Le projet vise à : -	Sensibiliser les populations aux risques qui les environnent. Informer et acculturer toutes les parties prenantes aux mesures qui permettent de réduire leur exposition au risque en cas de catastrophe naturelle ou technologique.  -	Inciter les populations à passer à l’action pour préparer : kit de survie en cas d'évacuation ou de confinement, plan personnel de secours (PMSF, plan d’urgence de quartier),  -	Former aux gestes qui sauvent via la réalité virtuelle.","Risques naturels, Risques technologiques","Inondations, Séisme, Risques littoraux, Mouvement de terrain, Radon",Accidents industriels,"Tous public, Famille, Jeune public, Séniors",2023-10-01,2023-10-15,Route de Gardel 97160 Le Moule,Le Moule (97160),971,Guadeloupe,13390519,EMERGENCES SECOURISME GUADELOUPE,En construction,True,True,True,False,False,True,False,True,True,False,True,True,False,False,False,True,True,True,True,16.3194004,-61.3264203,
13439827,"Mini-conférence "" Arts et Sciences pour les plus jeunes""","Une démarche scientifique et artistique. À destination des enfants. Ces interventions nourries d’une interaction de deux disciplines (sciences, arts graphiques & numériques) avec une dimension « arts et sciences » expérimentée lors d’une résidence d’un an sur le campus de sciences de Rouen. Sensibiliser au changement climatique sans alimenter l’éco-anxiété. Expliquer la montée des eaux, les crues et décrues de la Seine, l’impact sur l’environnement du territoire. Présenter des solutions et expliquer l’utilité d’« Amplitude ». ",Risques naturels,Inondations,,"Tous public, Jeune public",2023-10-14,2023-10-20,Micro-Folie/ Théâtre de Duclair Place du Géneral de Gaulle 76480 Duclair,Duclair (76480),76,Seine-Maritime,13439827,MAIRIE DE DUCLAIR,En construction,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,49.482563,0.8754968,
13439827,"Mini-conférence "" Arts et Sciences pour les plus jeunes""","Une démarche scientifique et artistique. À destination des enfants. Ces interventions nourries d’une interaction de deux disciplines (sciences, arts graphiques & numériques) avec une dimension « arts et sciences » expérimentée lors d’une résidence d’un an sur le campus de sciences de Rouen. Sensibiliser au changement climatique sans alimenter l’éco-anxiété. Expliquer la montée des eaux, les crues et décrues de la Seine, l’impact sur l’environnement du territoire. Présenter des solutions et expliquer l’utilité d’« Amplitude ». ",Risques naturels,Inondations,,"Tous public, Jeune public",2023-10-14,2023-10-20,Ecole André Malraux 222 rue Victor Hugo - 76480 Duclai,Duclair (76480),76,Seine-Maritime,13439827,MAIRIE DE DUCLAIR,En construction,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,49.482563,0.8754968,
